---------CORE WORDS FOUND--------- 
Form(''I''), HasIPA(1), Usage(10294)
Form(''SPRANG''), HasIPA(1), Usage(44)
Form(''FRIGHT''), HasIPA(1), Usage(21)
Form(''PAINS''), HasIPA(1), Usage(27)
Form(''VERANDA''), HasIPA(1), Usage(38)
Form(''STRAIN''), HasIPA(1), Usage(27)
Form(''STOLEN''), HasIPA(1), Usage(24)
Form(''PAIN''), HasIPA(1), Usage(34)
Form(''JOB''), HasIPA(1), Usage(26)
Form(''TASK''), HasIPA(1), Usage(27)
Form(''BURN''), HasIPA(1), Usage(27)
Form(''WEARING''), HasIPA(1), Usage(31)
Form(''POLICE''), HasIPA(1), Usage(31)
Form(''PROTECTION''), HasIPA(1), Usage(31)
Form(''MINISTER''), HasIPA(1), Usage(30)
Form(''UNDERSTANDING''), HasIPA(1), Usage(37)
Form(''DRESSES''), HasIPA(1), Usage(37)
Form(''BORNE''), HasIPA(1), Usage(28)
Form(''BLAME''), HasIPA(1), Usage(34)
Form(''PRESS''), HasIPA(1), Usage(43)
Form(''CONTACT''), HasIPA(1), Usage(25)
Form(''ATTITUDE''), HasIPA(1), Usage(33)
Form(''EAGERLY''), HasIPA(1), Usage(26)
Form(''SUNSHINE''), HasIPA(1), Usage(27)
Form(''DOORS''), HasIPA(1), Usage(42)
Form(''SAILING''), HasIPA(1), Usage(21)
Form(''MYSTERY''), HasIPA(1), Usage(27)
Form(''WAVE''), HasIPA(1), Usage(39)
Form(''FLAMES''), HasIPA(1), Usage(20)
Form(''HEAVENS''), HasIPA(1), Usage(35)
Form(''CONNECTION''), HasIPA(1), Usage(27)
Form(''PARTIALLY''), HasIPA(1), Usage(30)
Form(''OUTLINES''), HasIPA(1), Usage(20)
Form(''BEARS''), HasIPA(1), Usage(23)
Form(''TREMBLING''), HasIPA(1), Usage(44)
Form(''FAMINE''), HasIPA(1), Usage(21)
Form(''SLENDER''), HasIPA(1), Usage(24)
Form(''HEARING''), HasIPA(1), Usage(37)
Form(''ROLL''), HasIPA(1), Usage(27)
Form(''RAVINE''), HasIPA(1), Usage(23)
Form(''SEARCHED''), HasIPA(1), Usage(21)
Form(''PILED''), HasIPA(1), Usage(26)
Form(''FORMATIONS''), HasIPA(1), Usage(20)
Form(''ICEBERGS''), HasIPA(1), Usage(25)
Form(''SUNK''), HasIPA(1), Usage(22)
Form(''DEEPEST''), HasIPA(1), Usage(27)
Form(''SHAKE''), HasIPA(1), Usage(25)
Form(''CONDITIONS''), HasIPA(1), Usage(27)
Form(''ADMIT''), HasIPA(1), Usage(38)
Form(''ABSTRACT''), HasIPA(1), Usage(20)
Form(''SOULS''), HasIPA(1), Usage(22)
Form(''ROW''), HasIPA(1), Usage(25)
Form(''GUARD''), HasIPA(1), Usage(45)
Form(''CURSE''), HasIPA(1), Usage(28)
Form(''PRIMITIVE''), HasIPA(1), Usage(27)
Form(''AGENCY''), HasIPA(1), Usage(25)
Form(''INNER''), HasIPA(1), Usage(33)
Form(''USUALLY''), HasIPA(1), Usage(35)
Form(''BROW''), HasIPA(1), Usage(20)
Form(''CIRCLES''), HasIPA(1), Usage(27)
Form(''HAPPENS''), HasIPA(1), Usage(34)
Form(''CRUEL''), HasIPA(1), Usage(26)
Form(''LIKELY''), HasIPA(1), Usage(49)
Form(''GAIN''), HasIPA(1), Usage(34)
Form(''CLAD''), HasIPA(1), Usage(22)
Form(''REGRET''), HasIPA(1), Usage(21)
Form(''HOPED''), HasIPA(1), Usage(31)
Form(''FRANCE''), HasIPA(1), Usage(43)
Form(''FLAG''), HasIPA(1), Usage(21)
Form(''FROST''), HasIPA(1), Usage(23)
Form(''BECOMING''), HasIPA(1), Usage(47)
Form(''SPARE''), HasIPA(1), Usage(24)
Form(''CHEST''), HasIPA(1), Usage(34)
Form(''LEANING''), HasIPA(1), Usage(21)
Form(''STRUGGLED''), HasIPA(1), Usage(35)
Form(''BULLS''), HasIPA(1), Usage(26)
Form(''STRETCHED''), HasIPA(1), Usage(42)
Form(''TIGHTLY''), HasIPA(1), Usage(25)
Form(''STALLION''), HasIPA(1), Usage(21)
Form(''BRED''), HasIPA(1), Usage(23)
Form(''EXPENSE''), HasIPA(1), Usage(28)
Form(''SETTLED''), HasIPA(1), Usage(45)
Form(''BURNING''), HasIPA(1), Usage(39)
Form(''PEAT''), HasIPA(1), Usage(20)
Form(''SHOWER''), HasIPA(1), Usage(26)
Form(''CONTINUOUS''), HasIPA(1), Usage(22)
Form(''SHEET''), HasIPA(1), Usage(24)
Form(''SEEK''), HasIPA(1), Usage(45)
Form(''EXPLANATION''), HasIPA(1), Usage(40)
Form(''BRAVE''), HasIPA(1), Usage(37)
Form(''LEAPING''), HasIPA(1), Usage(21)
Form(''DUSK''), HasIPA(1), Usage(22)
Form(''PURPOSES''), HasIPA(1), Usage(25)
Form(''ZEALAND''), HasIPA(1), Usage(21)
Form(''TRAP''), HasIPA(1), Usage(27)
Form(''OUTER''), HasIPA(1), Usage(49)
Form(''RAT''), HasIPA(1), Usage(20)
Form(''RIBBON''), HasIPA(1), Usage(28)
Form(''COVE''), HasIPA(1), Usage(32)
Form(''GLACIERS''), HasIPA(1), Usage(21)
Form(''WAVING''), HasIPA(1), Usage(26)
Form(''SHOUT''), HasIPA(1), Usage(21)
Form(''DEVILS''), HasIPA(1), Usage(35)
Form(''CHICKENS''), HasIPA(1), Usage(20)
Form(''BARED''), HasIPA(1), Usage(20)
Form(''BOSOM''), HasIPA(1), Usage(35)
Form(''SENTENCE''), HasIPA(1), Usage(24)
Form(''ADDRESSED''), HasIPA(1), Usage(23)
Form(''SENSES''), HasIPA(1), Usage(29)
Form(''DANCING''), HasIPA(1), Usage(31)
Form(''JEMMY''), HasIPA(0), Usage(34)
Form(''INTELLECT''), HasIPA(1), Usage(28)
Form(''LIKED''), HasIPA(1), Usage(35)
Form(''PRAISE''), HasIPA(1), Usage(25)
Form(''DEVIL''), HasIPA(1), Usage(42)
Form(''PERSONAL''), HasIPA(1), Usage(39)
Form(''FACED''), HasIPA(1), Usage(41)
Form(''LEARNING''), HasIPA(1), Usage(33)
Form(''MARRY''), HasIPA(1), Usage(41)
Form(''MIST''), HasIPA(1), Usage(27)
Form(''DIM''), HasIPA(1), Usage(28)
Form(''PAINT''), HasIPA(1), Usage(48)
Form(''ENJOY''), HasIPA(1), Usage(41)
Form(''DREAMS''), HasIPA(1), Usage(48)
Form(''AGENTS''), HasIPA(1), Usage(23)
Form(''INSANE''), HasIPA(1), Usage(28)
Form(''AFFECTION''), HasIPA(1), Usage(26)
Form(''IMAGINATION''), HasIPA(1), Usage(41)
Form(''COMPARE''), HasIPA(1), Usage(20)
Form(''DECIDE''), HasIPA(1), Usage(25)
Form(''FATHOMS''), HasIPA(1), Usage(23)
Form(''INVOLVED''), HasIPA(1), Usage(22)
Form(''LIGHTED''), HasIPA(1), Usage(44)
Form(''COMFORTABLE''), HasIPA(1), Usage(26)
Form(''WAVED''), HasIPA(1), Usage(21)
Form(''TIN''), HasIPA(1), Usage(20)
Form(''SPEAR''), HasIPA(1), Usage(46)
Form(''TEACH''), HasIPA(1), Usage(37)
Form(''BULLET''), HasIPA(1), Usage(21)
Form(''ACRES''), HasIPA(1), Usage(23)
Form(''ELSEWHERE''), HasIPA(1), Usage(32)
Form(''GOODS''), HasIPA(1), Usage(33)
Form(''MEETING''), HasIPA(1), Usage(47)
Form(''BAGS''), HasIPA(1), Usage(22)
Form(''THRICE''), HasIPA(1), Usage(24)
Form(''FOOLISH''), HasIPA(1), Usage(36)
Form(''SUCCESSFUL''), HasIPA(1), Usage(24)
Form(''CURLED''), HasIPA(1), Usage(20)
Form(''FAINT''), HasIPA(1), Usage(45)
Form(''WONDERING''), HasIPA(1), Usage(28)
Form(''EXCHANGE''), HasIPA(1), Usage(25)
Form(''NAIL''), HasIPA(1), Usage(21)
Form(''FAREWELL''), HasIPA(1), Usage(21)
Form(''GENEROUS''), HasIPA(1), Usage(20)
Form(''KINGS''), HasIPA(1), Usage(43)
Form(''COMPARATIVELY''), HasIPA(1), Usage(21)
Form(''HUT''), HasIPA(1), Usage(40)
Form(''SIMPLICITY''), HasIPA(1), Usage(21)
Form(''SENDING''), HasIPA(1), Usage(25)
Form(''PARTED''), HasIPA(1), Usage(26)
Form(''GUNS''), HasIPA(1), Usage(42)
Form(''SINKING''), HasIPA(1), Usage(29)
Form(''HONEY''), HasIPA(1), Usage(22)
Form(''UN''), HasIPA(1), Usage(37)
Form(''C''), HasIPA(1), Usage(21)
Form(''THRUSH''), HasIPA(1), Usage(21)
Form(''SHAKING''), HasIPA(1), Usage(49)
Form(''STAR''), HasIPA(1), Usage(26)
Form(''FINAL''), HasIPA(1), Usage(29)
Form(''POLE''), HasIPA(1), Usage(30)
Form(''B''), HasIPA(1), Usage(25)
Form(''POTATOES''), HasIPA(1), Usage(39)
Form(''AUTHOR''), HasIPA(1), Usage(23)
Form(''CANE''), HasIPA(1), Usage(20)
Form(''EARTHQUAKES''), HasIPA(1), Usage(24)
Form(''MISSIONARIES''), HasIPA(1), Usage(31)
Form(''THITHER''), HasIPA(0), Usage(30)
Form(''SHED''), HasIPA(1), Usage(24)
Form(''CAREFUL''), HasIPA(1), Usage(39)
Form(''SUBMARINE''), HasIPA(1), Usage(39)
Form(''MINES''), HasIPA(1), Usage(36)
Form(''POETS''), HasIPA(1), Usage(24)
Form(''COTTAGES''), HasIPA(1), Usage(20)
Form(''ARBOUR''), HasIPA(1), Usage(30)
Form(''BOOTS''), HasIPA(1), Usage(30)
Form(''SUPERINTENDENT''), HasIPA(1), Usage(20)
Form(''WROTE''), HasIPA(1), Usage(48)
Form(''COPPER''), HasIPA(1), Usage(27)
Form(''SOLITUDE''), HasIPA(1), Usage(20)
Form(''GRAIN''), HasIPA(1), Usage(21)
Form(''GATHERING''), HasIPA(1), Usage(26)
Form(''LOCKED''), HasIPA(1), Usage(33)
Form(''CITIES''), HasIPA(1), Usage(20)
Form(''AFFAIRS''), HasIPA(1), Usage(43)
Form(''BENCH''), HasIPA(1), Usage(24)
Form(''CASTE''), HasIPA(1), Usage(40)
Form(''FORCES''), HasIPA(1), Usage(29)
Form(''SECRET''), HasIPA(1), Usage(38)
Form(''HESITATED''), HasIPA(1), Usage(36)
Form(''INQUIRED''), HasIPA(1), Usage(36)
Form(''MILL''), HasIPA(1), Usage(22)
Form(''POVERTY''), HasIPA(1), Usage(25)
Form(''STRONGER''), HasIPA(1), Usage(29)
Form(''REQUIRES''), HasIPA(1), Usage(22)
Form(''ADDRESS''), HasIPA(1), Usage(35)
Form(''DEMAND''), HasIPA(1), Usage(21)
Form(''INDIFFERENCE''), HasIPA(1), Usage(24)
Form(''PURELY''), HasIPA(1), Usage(21)
Form(''INNOCENT''), HasIPA(1), Usage(21)
Form(''SEASONS''), HasIPA(1), Usage(23)
Form(''SAD''), HasIPA(1), Usage(23)
Form(''PREPARE''), HasIPA(1), Usage(36)
Form(''DESPAIR''), HasIPA(1), Usage(20)
Form(''STUDIED''), HasIPA(1), Usage(36)
Form(''BITTER''), HasIPA(1), Usage(27)
Form(''CHANCES''), HasIPA(1), Usage(25)
Form(''SCREAMING''), HasIPA(1), Usage(20)
Form(''FEELS''), HasIPA(1), Usage(22)
Form(''MEMBERS''), HasIPA(1), Usage(20)
Form(''TWISTED''), HasIPA(1), Usage(28)
Form(''PLANNED''), HasIPA(1), Usage(23)
Form(''DRIVER''), HasIPA(1), Usage(21)
Form(''ENDED''), HasIPA(1), Usage(23)
Form(''SEED''), HasIPA(1), Usage(27)
Form(''PACKED''), HasIPA(1), Usage(23)
Form(''MARRIAGE''), HasIPA(1), Usage(33)
Form(''PROFIT''), HasIPA(1), Usage(26)
Form(''CHEEK''), HasIPA(1), Usage(30)
Form(''LINED''), HasIPA(1), Usage(20)
Form(''JAMES''), HasIPA(1), Usage(28)
Form(''HEADED''), HasIPA(1), Usage(32)
Form(''MEMORABLE''), HasIPA(1), Usage(21)
Form(''BOARDS''), HasIPA(1), Usage(37)
Form(''TIMBER''), HasIPA(1), Usage(27)
Form(''CLINGING''), HasIPA(1), Usage(30)
Form(''DOORWAY''), HasIPA(1), Usage(20)
Form(''AREAS''), HasIPA(1), Usage(22)
Form(''PORTILLO''), HasIPA(1), Usage(24)
Form(''RIPE''), HasIPA(1), Usage(20)
Form(''SOCIAL''), HasIPA(1), Usage(31)
Form(''HURRYING''), HasIPA(1), Usage(23)
Form(''COPIAPO''), HasIPA(0), Usage(22)
Form(''SUBSIDED''), HasIPA(1), Usage(22)
Form(''STRING''), HasIPA(1), Usage(40)
Form(''ORCHESTRA''), HasIPA(1), Usage(21)
Form(''DOWNWARD''), HasIPA(1), Usage(25)
Form(''EXPECT''), HasIPA(1), Usage(37)
Form(''FACING''), HasIPA(1), Usage(22)
Form(''POURED''), HasIPA(1), Usage(24)
Form(''MODERN''), HasIPA(1), Usage(41)
Form(''PICTURES''), HasIPA(1), Usage(29)
Form(''KEY''), HasIPA(1), Usage(30)
Form(''UNCERTAIN''), HasIPA(1), Usage(23)
Form(''PRIZE''), HasIPA(1), Usage(20)
Form(''ACQUIRE''), HasIPA(1), Usage(32)
Form(''MARCHED''), HasIPA(1), Usage(24)
Form(''PRACTICAL''), HasIPA(1), Usage(34)
Form(''HEALTHY''), HasIPA(1), Usage(25)
Form(''BOWED''), HasIPA(1), Usage(24)
Form(''AY''), HasIPA(1), Usage(45)
Form(''LIGHTLY''), HasIPA(1), Usage(23)
Form(''FARMERS''), HasIPA(1), Usage(30)
Form(''PANIC''), HasIPA(1), Usage(26)
Form(''APPEAL''), HasIPA(1), Usage(23)
Form(''SANK''), HasIPA(1), Usage(22)
Form(''PRECIOUS''), HasIPA(1), Usage(30)
Form(''TICKET''), HasIPA(1), Usage(25)
Form(''BET''), HasIPA(1), Usage(22)
Form(''COURT''), HasIPA(1), Usage(25)
Form(''DECENT''), HasIPA(1), Usage(26)
Form(''HARM''), HasIPA(1), Usage(40)
Form(''ANXIETY''), HasIPA(1), Usage(22)
Form(''TEA''), HasIPA(1), Usage(42)
Form(''TINY''), HasIPA(1), Usage(41)
Form(''SHARPLY''), HasIPA(1), Usage(35)
Form(''ALMIGHTY''), HasIPA(1), Usage(25)
Form(''HANG''), HasIPA(1), Usage(29)
Form(''TROUBLED''), HasIPA(1), Usage(27)
Form(''FEVER''), HasIPA(1), Usage(43)
Form(''CHARLES''), HasIPA(1), Usage(21)
Form(''TORTOISES''), HasIPA(1), Usage(28)
Form(''STOVE''), HasIPA(1), Usage(33)
Form(''FANCY''), HasIPA(1), Usage(45)
Form(''NUTS''), HasIPA(1), Usage(32)
Form(''SORROW''), HasIPA(1), Usage(42)
Form(''TORTOISE''), HasIPA(1), Usage(30)
Form(''CONTENTS''), HasIPA(1), Usage(26)
Form(''RAISING''), HasIPA(1), Usage(26)
Form(''DELIBERATELY''), HasIPA(1), Usage(27)
Form(''FINISH''), HasIPA(1), Usage(21)
Form(''TAHITI''), HasIPA(1), Usage(27)
Form(''CHINESE''), HasIPA(1), Usage(33)
Form(''TONES''), HasIPA(1), Usage(21)
Form(''UNLIKE''), HasIPA(1), Usage(20)
Form(''DREAMED''), HasIPA(1), Usage(35)
Form(''AROUSED''), HasIPA(1), Usage(26)
Form(''COWLEY''), HasIPA(1), Usage(24)
Form(''PERCH''), HasIPA(1), Usage(25)
Form(''WISDOM''), HasIPA(1), Usage(49)
Form(''MORAL''), HasIPA(1), Usage(39)
Form(''OAK''), HasIPA(1), Usage(20)
Form(''SANG''), HasIPA(1), Usage(33)
Form(''LOG''), HasIPA(1), Usage(47)
Form(''SALE''), HasIPA(1), Usage(20)
Form(''GIFT''), HasIPA(1), Usage(25)
Form(''PRAYER''), HasIPA(1), Usage(32)
Form(''QUEEN''), HasIPA(1), Usage(25)
Form(''HANDFUL''), HasIPA(1), Usage(23)
Form(''PRAY''), HasIPA(1), Usage(34)
Form(''VIRTUE''), HasIPA(1), Usage(27)
Form(''MOTHERS''), HasIPA(1), Usage(23)
Form(''CUSTOMS''), HasIPA(1), Usage(28)
Form(''WELCOME''), HasIPA(1), Usage(34)
Form(''WILLIAMS''), HasIPA(1), Usage(23)
Form(''FORGIVE''), HasIPA(1), Usage(26)
Form(''HATRED''), HasIPA(1), Usage(32)
Form(''BUNDLE''), HasIPA(1), Usage(20)
Form(''WARRIOR''), HasIPA(1), Usage(23)
Form(''MOMENTS''), HasIPA(1), Usage(24)
Form(''SPITE''), HasIPA(1), Usage(22)
Form(''SONS''), HasIPA(1), Usage(24)
Form(''PRAYERS''), HasIPA(1), Usage(25)
Form(''MARKET''), HasIPA(1), Usage(31)
Form(''AMERICANS''), HasIPA(1), Usage(48)
Form(''IMAGES''), HasIPA(1), Usage(26)
Form(''WOMAN'S''), HasIPA(1), Usage(33)
Form(''KEEN''), HasIPA(1), Usage(36)
Form(''EXQUISITE''), HasIPA(1), Usage(21)
Form(''SWING''), HasIPA(1), Usage(24)
Form(''QUALITY''), HasIPA(1), Usage(32)
Form(''CLAIM''), HasIPA(1), Usage(20)
Form(''PONDS''), HasIPA(1), Usage(30)
Form(''CHARMS''), HasIPA(1), Usage(23)
Form(''INTELLECTUAL''), HasIPA(1), Usage(24)
Form(''ROBINSON''), HasIPA(1), Usage(25)
Form(''PROMISE''), HasIPA(1), Usage(39)
Form(''ILLUSION''), HasIPA(1), Usage(29)
Form(''CORALS''), HasIPA(1), Usage(45)
Form(''DANCED''), HasIPA(1), Usage(22)
Form(''PROMPTLY''), HasIPA(1), Usage(23)
Form(''ATOLLS''), HasIPA(0), Usage(46)
Form(''OTHER'S''), HasIPA(1), Usage(26)
Form(''HARDY''), HasIPA(1), Usage(46)
Form(''OVERHEAD''), HasIPA(1), Usage(21)
Form(''SPIRITUAL''), HasIPA(1), Usage(30)
Form(''VITAL''), HasIPA(1), Usage(23)
Form(''GUESSED''), HasIPA(1), Usage(27)
Form(''TENDER''), HasIPA(1), Usage(43)
Form(''FARMS''), HasIPA(1), Usage(25)
Form(''CART''), HasIPA(1), Usage(43)
Form(''SMILING''), HasIPA(1), Usage(36)
Form(''STARING''), HasIPA(1), Usage(49)
Form(''CROP''), HasIPA(1), Usage(20)
Form(''FIX''), HasIPA(1), Usage(32)
Form(''CHILDHOOD''), HasIPA(1), Usage(24)
Form(''ADVICE''), HasIPA(1), Usage(22)
Form(''LIGHTS''), HasIPA(1), Usage(47)
Form(''BREATHED''), HasIPA(1), Usage(25)
Form(''PERMIT''), HasIPA(1), Usage(30)
Form(''NEWSPAPERS''), HasIPA(1), Usage(32)
Form(''WASHINGTON''), HasIPA(1), Usage(30)
Form(''TIRPITZ''), HasIPA(0), Usage(26)
Form(''OFFICIALS''), HasIPA(1), Usage(24)
Form(''JAGOW''), HasIPA(1), Usage(30)
Form(''ZIMMERMANN''), HasIPA(1), Usage(24)
Form(''STAFF''), HasIPA(1), Usage(36)
Form(''LUSITANIA''), HasIPA(1), Usage(29)
Form(''GERARD''), HasIPA(1), Usage(28)
Form(''AMBASSADOR''), HasIPA(1), Usage(33)
Form(''SYMPATHY''), HasIPA(1), Usage(28)
Form(''PROPAGANDA''), HasIPA(1), Usage(29)
Form(''FAITH''), HasIPA(1), Usage(49)
Form(''REALIZE''), HasIPA(1), Usage(38)
Form(''KAISER''), HasIPA(1), Usage(22)
Form(''INTERESTS''), HasIPA(1), Usage(32)
Form(''ANGEL''), HasIPA(1), Usage(40)
Form(''POCKETS''), HasIPA(1), Usage(22)
Form(''TELEGRAPH''), HasIPA(1), Usage(39)
Form(''AFTERWARD''), HasIPA(1), Usage(21)
Form(''RUSSIAN''), HasIPA(1), Usage(32)
Form(''READERS''), HasIPA(1), Usage(29)
Form(''WIN''), HasIPA(1), Usage(23)
Form(''HEARTS''), HasIPA(1), Usage(30)
Form(''FASTER''), HasIPA(1), Usage(21)
Form(''DEPARTMENT''), HasIPA(1), Usage(35)
Form(''SUFFERING''), HasIPA(1), Usage(35)
Form(''POLICY''), HasIPA(1), Usage(21)
Form(''SEEKING''), HasIPA(1), Usage(21)
Form(''PRACTICALLY''), HasIPA(1), Usage(30)
Form(''IMPULSE''), HasIPA(1), Usage(28)
Form(''NEWSPAPER''), HasIPA(1), Usage(31)
Form(''SILENTLY''), HasIPA(1), Usage(38)
Form(''GERMANS''), HasIPA(1), Usage(23)
Form(''STORES''), HasIPA(1), Usage(25)
Form('''THE''), HasIPA(0), Usage(27)
Form(''REPORTER''), HasIPA(1), Usage(33)
Form(''HOTEL''), HasIPA(1), Usage(48)
Form(''FEARED''), HasIPA(1), Usage(40)
Form(''LUST''), HasIPA(1), Usage(24)
Form(''SPEECH''), HasIPA(1), Usage(44)
Form(''BUTTER''), HasIPA(1), Usage(25)
Form(''TRIP''), HasIPA(1), Usage(20)
Form(''PRINTED''), HasIPA(1), Usage(23)
Form(''EXCUSE''), HasIPA(1), Usage(25)
Form(''TEXT''), HasIPA(1), Usage(20)
Form(''WRITERS''), HasIPA(1), Usage(24)
Form(''MEANWHILE''), HasIPA(1), Usage(25)
Form(''ARABIC''), HasIPA(1), Usage(24)
Form(''CHICAGO''), HasIPA(1), Usage(33)
Form(''ACTIVITIES''), HasIPA(1), Usage(38)
Form(''SUIT''), HasIPA(1), Usage(30)
Form(''GOD'S''), HasIPA(1), Usage(20)
Form(''EMPEROR''), HasIPA(1), Usage(26)
Form(''GATES''), HasIPA(1), Usage(35)
Form(''NAY''), HasIPA(1), Usage(49)
Form(''ED''), HasIPA(1), Usage(34)
Form(''ANDERSON''), HasIPA(1), Usage(30)
Form(''WINES''), HasIPA(1), Usage(46)
Form(''BURG''), HasIPA(1), Usage(22)
Form(''NERVOUS''), HasIPA(1), Usage(36)
Form(''LITERATURE''), HasIPA(1), Usage(20)
Form(''PARCIVAL''), HasIPA(0), Usage(21)
Form(''SWIFT''), HasIPA(1), Usage(48)
Form(''FELLOWS''), HasIPA(1), Usage(30)
Form(''NESS''), HasIPA(1), Usage(20)
Form(''SADNESS''), HasIPA(1), Usage(23)
Form(''LOUISE''), HasIPA(1), Usage(49)
Form(''BENTLEY''), HasIPA(1), Usage(45)
Form(''ENOCH''), HasIPA(1), Usage(35)
Form(''REEFY''), HasIPA(0), Usage(20)
Form(''HAP''), HasIPA(1), Usage(22)
Form(''ALAS''), HasIPA(1), Usage(20)
Form(''AWOKE''), HasIPA(1), Usage(22)
Form(''CARPENTER''), HasIPA(1), Usage(24)
Form(''CAR''), HasIPA(1), Usage(49)
Form(''WASN'T''), HasIPA(1), Usage(43)
Form(''PROCESSION''), HasIPA(1), Usage(20)
Form(''DESK''), HasIPA(1), Usage(26)
Form(''SNATCHED''), HasIPA(1), Usage(24)
Form(''NERVOUSLY''), HasIPA(1), Usage(27)
Form(''SCREAMED''), HasIPA(1), Usage(24)
Form(''EAGLE''), HasIPA(1), Usage(31)
Form(''EVENINGS''), HasIPA(1), Usage(24)
Form(''STRODE''), HasIPA(1), Usage(22)
Form(''RODS''), HasIPA(1), Usage(38)
Form(''FISTS''), HasIPA(1), Usage(23)
Form(''AL''), HasIPA(1), Usage(31)
Form(''BANKER''), HasIPA(1), Usage(34)
Form(''GOLDEN''), HasIPA(1), Usage(34)
Form(''GATHER''), HasIPA(1), Usage(33)
Form(''THRUST''), HasIPA(1), Usage(34)
Form(''HILLSIDE''), HasIPA(1), Usage(28)
Form(''MEADOW''), HasIPA(1), Usage(23)
Form(''EVERYONE''), HasIPA(1), Usage(38)
Form(''CARS''), HasIPA(1), Usage(21)
Form(''COT''), HasIPA(1), Usage(24)
Form(''SCREEN''), HasIPA(1), Usage(21)
Form(''ROSARY''), HasIPA(1), Usage(43)
Form(''BEARD''), HasIPA(1), Usage(37)
Form(''MOOD''), HasIPA(1), Usage(34)
Form(''EAGER''), HasIPA(1), Usage(21)
Form(''KISS''), HasIPA(1), Usage(24)
Form(''ELIZABETH''), HasIPA(1), Usage(31)
Form(''TRAVELING''), HasIPA(1), Usage(23)
Form(''KITCHEN''), HasIPA(1), Usage(49)
Form(''ALLEYWAY''), HasIPA(1), Usage(22)
Form(''SIDEWALK''), HasIPA(1), Usage(24)
Form(''ABROAD''), HasIPA(1), Usage(22)
Form(''MURMURED''), HasIPA(1), Usage(20)
Form(''YOU'LL''), HasIPA(1), Usage(48)
Form(''EH''), HasIPA(1), Usage(43)
Form(''STAIRS''), HasIPA(1), Usage(38)
Form(''MIRACLE''), HasIPA(1), Usage(22)
Form(''SEWING''), HasIPA(1), Usage(20)
Form(''SNAP''), HasIPA(1), Usage(31)
Form(''SOBBED''), HasIPA(1), Usage(20)
Form(''CHEEKS''), HasIPA(1), Usage(32)
Form(''PHILOSOPHER''), HasIPA(1), Usage(29)
Form(''SOMEONE''), HasIPA(1), Usage(28)
Form(''MEDICINE''), HasIPA(1), Usage(23)
Form(''ANYWAY''), HasIPA(1), Usage(31)
Form(''TEAM''), HasIPA(1), Usage(20)
Form(''CLERK''), HasIPA(1), Usage(24)
Form(''WHISPER''), HasIPA(1), Usage(24)
Form(''CLUNG''), HasIPA(1), Usage(40)
Form(''HIDING''), HasIPA(1), Usage(22)
Form(''NEIGHBORS''), HasIPA(1), Usage(36)
Form(''NEIGHBOR''), HasIPA(1), Usage(26)
Form(''TEMPER''), HasIPA(1), Usage(34)
Form(''ANGER''), HasIPA(1), Usage(43)
Form(''FLASHED''), HasIPA(1), Usage(22)
Form(''CLUTCHED''), HasIPA(1), Usage(20)
Form(''NODDED''), HasIPA(1), Usage(45)
Form(''MOTHER'S''), HasIPA(1), Usage(43)
Form(''DOST''), HasIPA(1), Usage(33)
Form(''STUDIES''), HasIPA(1), Usage(22)
Form(''KISSED''), HasIPA(1), Usage(48)
Form(''HIT''), HasIPA(1), Usage(24)
Form(''JOE''), HasIPA(1), Usage(35)
Form(''WELLING''), HasIPA(1), Usage(25)
Form(''LET'S''), HasIPA(1), Usage(34)
Form(''AMID''), HasIPA(1), Usage(23)
Form(''PONY''), HasIPA(1), Usage(45)
Form(''QUEER''), HasIPA(1), Usage(37)
Form(''AMAZEMENT''), HasIPA(1), Usage(32)
Form(''GROWLED''), HasIPA(1), Usage(39)
Form(''NED''), HasIPA(1), Usage(21)
Form(''IST''), HasIPA(0), Usage(22)
Form(''WEARY''), HasIPA(1), Usage(23)
Form(''SETH''), HasIPA(1), Usage(49)
Form(''RICHMOND''), HasIPA(1), Usage(26)
Form(''FUN''), HasIPA(1), Usage(20)
Form(''BYE''), HasIPA(1), Usage(43)
Form(''WHAT'S''), HasIPA(1), Usage(26)
Form(''BOXES''), HasIPA(1), Usage(29)
Form(''YOU'D''), HasIPA(1), Usage(35)
Form(''CURE''), HasIPA(1), Usage(27)
Form(''ASSOCIATES''), HasIPA(1), Usage(20)
Form(''ENGINE''), HasIPA(1), Usage(20)
Form(''BURNED''), HasIPA(1), Usage(37)
Form(''BRAIN''), HasIPA(1), Usage(48)
Form(''CAKES''), HasIPA(1), Usage(22)
Form(''CELLAR''), HasIPA(1), Usage(29)
Form(''CHICKEN''), HasIPA(1), Usage(23)
Form(''GENIUS''), HasIPA(1), Usage(27)
Form(''BRUSH''), HasIPA(1), Usage(21)
Form(''COMSTOCK'S''), HasIPA(0), Usage(33)
Form(''APARTMENT''), HasIPA(1), Usage(26)
Form(''LAP''), HasIPA(1), Usage(22)
Form(''DEPARTED''), HasIPA(1), Usage(24)
Form(''SUGGESTION''), HasIPA(1), Usage(20)
Form(''ELMER''), HasIPA(1), Usage(27)
Form(''PAUSED''), HasIPA(1), Usage(34)
Form(''REVOLVER''), HasIPA(1), Usage(30)
Form(''AIN'T''), HasIPA(1), Usage(46)
Form(''CHIN''), HasIPA(1), Usage(21)
Form(''WIT''), HasIPA(1), Usage(20)
Form(''RAY''), HasIPA(1), Usage(25)
