---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''VOLUTAS''), HasIPA(0), Usage(2 )
Form(''TEREBRA''), HasIPA(0), Usage(4 )
Form(''BARLEY''), HasIPA(1), Usage(4 )
Form(''RIPENED''), HasIPA(1), Usage(4 )
Form(''MADRID''), HasIPA(1), Usage(2 )
Form(''RIPEN''), HasIPA(1), Usage(3 )
Form(''MELONS''), HasIPA(1), Usage(3 )
Form(''UNFAVOURABLE''), HasIPA(0), Usage(4 )
Form(''RIVAL''), HasIPA(1), Usage(2 )
Form(''BARKS''), HasIPA(1), Usage(2 )
Form(''ORCHIDEOUS''), HasIPA(0), Usage(2 )
Form(''BOLIVIA''), HasIPA(1), Usage(2 )
Form(''PENTLAND''), HasIPA(1), Usage(3 )
Form(''GILLIES''), HasIPA(1), Usage(2 )
Form(''FLEXURE''), HasIPA(0), Usage(2 )
Form(''UNPARALLELED''), HasIPA(1), Usage(4 )
Form(''NORTHWARDS''), HasIPA(0), Usage(3 )
Form(''CHAFF''), HasIPA(1), Usage(3 )
Form(''PENAS''), HasIPA(0), Usage(2 )
Form(''RAFAEL''), HasIPA(1), Usage(2 )
Form(''GENEVA''), HasIPA(1), Usage(4 )
Form(''CONVEYED''), HasIPA(1), Usage(4 )
Form(''YORKSHIRE''), HasIPA(1), Usage(3 )
Form(''BURNET''), HasIPA(1), Usage(3 )
Form(''ICELAND''), HasIPA(1), Usage(3 )
Form(''KENDALL''), HasIPA(1), Usage(2 )
Form(''RADIATION''), HasIPA(1), Usage(2 )
Form(''REGULATES''), HasIPA(1), Usage(3 )
Form(''SAILOR'S''), HasIPA(1), Usage(3 )
Form(''PALLAS''), HasIPA(1), Usage(2 )
Form(''LISBON''), HasIPA(1), Usage(2 )
Form(''MONT''), HasIPA(1), Usage(2 )
Form(''YEARLY''), HasIPA(1), Usage(3 )
Form(''ALPS''), HasIPA(1), Usage(4 )
Form(''CATHEDRALS''), HasIPA(1), Usage(2 )
Form(''CUMULI''), HasIPA(0), Usage(3 )
Form(''RETARDED''), HasIPA(1), Usage(3 )
Form(''LINNEAN''), HasIPA(0), Usage(2 )
Form(''BULGARIA''), HasIPA(1), Usage(3 )
Form(''STAPHYLINIDAE''), HasIPA(0), Usage(3 )
Form(''KAMTSCHATKA''), HasIPA(0), Usage(3 )
Form(''DEDUCED''), HasIPA(1), Usage(3 )
Form(''VIZ''), HasIPA(0), Usage(3 )
Form(''AGUEROS''), HasIPA(0), Usage(2 )
Form(''MIERS'S''), HasIPA(0), Usage(2 )
Form(''INGENIO''), HasIPA(0), Usage(2 )
Form(''SIMPSON''), HasIPA(1), Usage(3 )
Form(''GEOGRAPH''), HasIPA(0), Usage(3 )
Form(''EXCELLENTLY''), HasIPA(1), Usage(2 )
Form(''TAPACOLO''), HasIPA(0), Usage(4 )
Form(''SEAPORT''), HasIPA(1), Usage(3 )
Form(''SPARKLING''), HasIPA(1), Usage(4 )
Form(''EXPOSE''), HasIPA(1), Usage(4 )
Form(''TILE''), HasIPA(1), Usage(3 )
Form(''RICHARD''), HasIPA(1), Usage(2 )
Form(''FOREGOING''), HasIPA(1), Usage(3 )
Form(''ENVELOPED''), HasIPA(1), Usage(2 )
Form(''GAIETY''), HasIPA(0), Usage(3 )
Form(''GEOLOGIZING''), HasIPA(0), Usage(2 )
Form(''QUINTERO''), HasIPA(1), Usage(2 )
Form(''UNEQUIVOCAL''), HasIPA(1), Usage(3 )
Form(''LAWNS''), HasIPA(1), Usage(2 )
Form(''ISIDRO''), HasIPA(0), Usage(2 )
Form(''FELIPE''), HasIPA(1), Usage(3 )
Form(''INTERSECT''), HasIPA(1), Usage(3 )
Form(''LANDOWNER''), HasIPA(1), Usage(2 )
Form(''FATTENED''), HasIPA(1), Usage(2 )
Form(''EXTENSIVELY''), HasIPA(1), Usage(4 )
Form(''MAYOR''), HasIPA(1), Usage(4 )
Form(''CAMPANA''), HasIPA(1), Usage(2 )
Form(''AGUA''), HasIPA(1), Usage(4 )
Form(''TREACLE''), HasIPA(0), Usage(4 )
Form(''LOPPED''), HasIPA(1), Usage(2 )
Form(''SLICE''), HasIPA(1), Usage(3 )
Form(''SPECK''), HasIPA(1), Usage(2 )
Form(''BAMBOOS''), HasIPA(0), Usage(4 )
Form(''CHARQUI''), HasIPA(0), Usage(3 )
Form(''FRESHNESS''), HasIPA(1), Usage(4 )
Form(''WELLINGTON''), HasIPA(1), Usage(4 )
Form(''GRADATIONS''), HasIPA(1), Usage(4 )
Form(''ARISTOCRACY''), HasIPA(1), Usage(2 )
Form(''RICHES''), HasIPA(1), Usage(3 )
Form(''REFUSES''), HasIPA(1), Usage(2 )
Form(''SCRUPLES''), HasIPA(1), Usage(3 )
Form(''ACCEPTING''), HasIPA(1), Usage(2 )
Form(''ATTIRE''), HasIPA(1), Usage(4 )
Form(''LABOURER''), HasIPA(0), Usage(4 )
Form(''DRAWERS''), HasIPA(1), Usage(4 )
Form(''CHILIPA''), HasIPA(0), Usage(2 )
Form(''LEGGINGS''), HasIPA(1), Usage(2 )
Form(''PONCHO''), HasIPA(1), Usage(4 )
Form(''ABSURDLY''), HasIPA(1), Usage(3 )
Form(''ROWEL''), HasIPA(0), Usage(2 )
Form(''NURSERY''), HasIPA(1), Usage(3 )
Form(''PRESENTING''), HasIPA(1), Usage(2 )
Form(''JAJUEL''), HasIPA(0), Usage(4 )
Form(''CORNWALL''), HasIPA(1), Usage(3 )
Form(''REX''), HasIPA(1), Usage(2 )
Form(''SHIPPED''), HasIPA(1), Usage(3 )
Form(''SWANSEA''), HasIPA(0), Usage(2 )
Form(''SMELTED''), HasIPA(0), Usage(3 )
Form(''FURNACES''), HasIPA(1), Usage(3 )
Form(''ENGINES''), HasIPA(1), Usage(3 )
Form(''CHEAPEST''), HasIPA(1), Usage(3 )
Form(''PYRITES''), HasIPA(0), Usage(3 )
Form(''TRANSPORTATION''), HasIPA(1), Usage(3 )
Form(''CINDERS''), HasIPA(1), Usage(4 )
Form(''EXPEL''), HasIPA(1), Usage(2 )
Form(''LABOURING''), HasIPA(0), Usage(4 )
Form(''LOAVES''), HasIPA(1), Usage(2 )
Form(''DYKES''), HasIPA(1), Usage(2 )
Form(''GUITRON''), HasIPA(0), Usage(2 )
Form(''SUSPENSION''), HasIPA(1), Usage(2 )
Form(''MAYPU''), HasIPA(0), Usage(3 )
Form(''APPEALING''), HasIPA(1), Usage(2 )
Form(''ABSURDITY''), HasIPA(1), Usage(3 )
Form(''ENORMITY''), HasIPA(1), Usage(4 )
Form(''RANCAGUA''), HasIPA(0), Usage(4 )
Form(''CACHAPUAL''), HasIPA(0), Usage(3 )
Form(''FOAMING''), HasIPA(1), Usage(3 )
Form(''BETRAYS''), HasIPA(1), Usage(3 )
Form(''UNEQUAL''), HasIPA(1), Usage(4 )
Form(''DERANGED''), HasIPA(1), Usage(2 )
Form(''DISTURBANCES''), HasIPA(1), Usage(3 )
Form(''PEAKED''), HasIPA(1), Usage(4 )
Form(''RAVAGED''), HasIPA(1), Usage(3 )
Form(''RENDEZVOUS''), HasIPA(1), Usage(2 )
Form(''REJOINING''), HasIPA(1), Usage(2 )
Form(''YAQUIL''), HasIPA(0), Usage(2 )
Form(''NIXON''), HasIPA(1), Usage(2 )
Form(''TAGUA''), HasIPA(0), Usage(2 )
Form(''INTERTWINED''), HasIPA(1), Usage(2 )
Form(''BEARDLESS''), HasIPA(0), Usage(2 )
Form(''SECRETE''), HasIPA(1), Usage(2 )
Form(''COMBINE''), HasIPA(1), Usage(4 )
Form(''SECURES''), HasIPA(1), Usage(4 )
Form(''ADAPTATION''), HasIPA(1), Usage(3 )
Form(''ORES''), HasIPA(1), Usage(4 )
Form(''DOLLARS'''), HasIPA(1), Usage(3 )
Form(''INDESTRUCTIBLE''), HasIPA(1), Usage(3 )
Form(''TILLED''), HasIPA(0), Usage(3 )
Form(''PLOT''), HasIPA(1), Usage(4 )
Form(''CLUBS''), HasIPA(1), Usage(2 )
Form(''WEDGED''), HasIPA(1), Usage(2 )
Form(''AGRICULTURAL''), HasIPA(1), Usage(4 )
Form(''COLLECTOR''), HasIPA(1), Usage(2 )
Form(''CONSULTED''), HasIPA(1), Usage(2 )
Form(''HERESY''), HasIPA(1), Usage(2 )
Form(''CONSECRATED''), HasIPA(1), Usage(3 )
Form(''UNWELL''), HasIPA(0), Usage(2 )
Form(''NAVEDAD''), HasIPA(0), Usage(3 )
Form(''LODGINGS''), HasIPA(1), Usage(3 )
Form(''INMATE''), HasIPA(1), Usage(2 )
Form(''CORFIELD'S''), HasIPA(0), Usage(2 )
Form(''DISCRIMINATION''), HasIPA(1), Usage(4 )
Form(''RESUMES''), HasIPA(1), Usage(3 )
Form(''WANDERS''), HasIPA(1), Usage(2 )
Form(''TERRIERS''), HasIPA(1), Usage(3 )
Form(''PTEROPTOCHOS''), HasIPA(0), Usage(3 )
Form(''ALBICOLLIS''), HasIPA(0), Usage(2 )
Form(''THRUSHES''), HasIPA(1), Usage(3 )
Form(''UNWILLINGNESS''), HasIPA(1), Usage(2 )
Form(''COOING''), HasIPA(1), Usage(3 )
Form(''TROCHILUS''), HasIPA(0), Usage(2 )
Form(''FLAPS''), HasIPA(1), Usage(2 )
Form(''CALDELEUGH''), HasIPA(0), Usage(2 )
Form(''CLASSIFY''), HasIPA(1), Usage(4 )
Form(''PRUDENT''), HasIPA(1), Usage(3 )
Form(''OMISSIONS''), HasIPA(1), Usage(2 )
Form(''MYOPOTAMUS''), HasIPA(0), Usage(2 )
Form(''OPETIORHYNCHUS''), HasIPA(0), Usage(4 )
Form(''ORNITHOLOGY''), HasIPA(1), Usage(4 )
Form(''INCOMPARABLY''), HasIPA(1), Usage(4 )
Form(''OSORNO''), HasIPA(0), Usage(3 )
Form(''FADING''), HasIPA(1), Usage(3 )
Form(''RESULTING''), HasIPA(1), Usage(2 )
Form(''INDIGO''), HasIPA(1), Usage(2 )
Form(''RUDEST''), HasIPA(1), Usage(3 )
Form(''SPINNING''), HasIPA(1), Usage(4 )
Form(''PASSABLE''), HasIPA(1), Usage(3 )
Form(''DEFICIENCY''), HasIPA(1), Usage(3 )
Form(''CIRCULATING''), HasIPA(1), Usage(4 )
Form(''CIRCUMNAVIGATE''), HasIPA(0), Usage(2 )
Form(''CHACAO''), HasIPA(0), Usage(4 )
Form(''NOOKS''), HasIPA(1), Usage(4 )
Form(''ARBITRARILY''), HasIPA(1), Usage(2 )
Form(''BAREFOOTED''), HasIPA(0), Usage(2 )
Form(''HOISTED''), HasIPA(1), Usage(3 )
Form(''MARGINS''), HasIPA(1), Usage(2 )
Form(''SPLENDIDLY''), HasIPA(1), Usage(3 )
Form(''JETS''), HasIPA(1), Usage(2 )
Form(''FAMOSO''), HasIPA(0), Usage(2 )
Form(''DECEPTION''), HasIPA(1), Usage(2 )
Form(''RADII''), HasIPA(0), Usage(2 )
Form(''FLATTISH''), HasIPA(1), Usage(2 )
Form(''CONVINCES''), HasIPA(1), Usage(2 )
Form(''CONNEXION''), HasIPA(0), Usage(2 )
Form(''CONQUERORS''), HasIPA(1), Usage(4 )
Form(''SURNAMES''), HasIPA(1), Usage(3 )
Form(''CENSUS''), HasIPA(1), Usage(2 )
Form(''CONVICTED''), HasIPA(1), Usage(2 )
Form(''INQUISITION''), HasIPA(1), Usage(4 )
Form(''LEMUY''), HasIPA(0), Usage(3 )
Form(''NOBLEMEN''), HasIPA(0), Usage(4 )
Form(''QUINCHAO''), HasIPA(0), Usage(2 )
Form(''NEGLIGENCE''), HasIPA(1), Usage(2 )
Form(''RESTRICTIONS''), HasIPA(1), Usage(2 )
Form(''VALUATION''), HasIPA(1), Usage(2 )
Form(''PURCHASER''), HasIPA(1), Usage(2 )
Form(''UNCLEARED''), HasIPA(0), Usage(2 )
Form(''DOUGLAS''), HasIPA(1), Usage(3 )
Form(''STOWED''), HasIPA(1), Usage(3 )
Form(''CASK''), HasIPA(1), Usage(2 )
Form(''LOOKERS''), HasIPA(1), Usage(2 )
Form(''CAYLEN''), HasIPA(0), Usage(4 )
Form(''BREASTED''), HasIPA(1), Usage(4 )
Form(''HALFPENCE''), HasIPA(0), Usage(2 )
Form(''PILOT''), HasIPA(1), Usage(4 )
Form(''RHUBARB''), HasIPA(1), Usage(2 )
Form(''CRISTIANDAD''), HasIPA(0), Usage(2 )
Form(''PLEA''), HasIPA(1), Usage(2 )
Form(''THEODOLITE''), HasIPA(0), Usage(3 )
Form(''GENERALITY''), HasIPA(1), Usage(2 )
Form(''ALERCE''), HasIPA(0), Usage(2 )
Form(''LULLED''), HasIPA(1), Usage(2 )
Form(''PRISMATIC''), HasIPA(1), Usage(2 )
Form(''SHIN''), HasIPA(1), Usage(2 )
Form(''ANCHORING''), HasIPA(1), Usage(2 )
Form(''LADDERS''), HasIPA(1), Usage(2 )
Form(''BRAKES''), HasIPA(1), Usage(3 )
Form(''BALKED''), HasIPA(1), Usage(3 )
Form(''PINNACLE''), HasIPA(1), Usage(3 )
Form(''MISGIVINGS''), HasIPA(1), Usage(2 )
Form(''WHALING''), HasIPA(1), Usage(2 )
Form(''RECKONING''), HasIPA(1), Usage(4 )
Form(''COEVAL''), HasIPA(0), Usage(2 )
Form(''DURABILITY''), HasIPA(1), Usage(3 )
Form(''PROFITLESS''), HasIPA(0), Usage(3 )
Form(''FUNDAMENTAL''), HasIPA(1), Usage(4 )
Form(''REALMS''), HasIPA(1), Usage(2 )
Form(''USHERED''), HasIPA(1), Usage(2 )
Form(''ATTENDANCE''), HasIPA(1), Usage(2 )
Form(''ATTRACTS''), HasIPA(1), Usage(4 )
Form(''LITTORAL''), HasIPA(1), Usage(2 )
Form(''ADVENTUROUSLY''), HasIPA(0), Usage(3 )
Form(''SHRUNK''), HasIPA(1), Usage(3 )
Form(''INSIPID''), HasIPA(0), Usage(3 )
Form(''AQUINAS''), HasIPA(1), Usage(2 )
Form(''CHILOTAN''), HasIPA(0), Usage(3 )
Form(''SPECIFICALLY''), HasIPA(1), Usage(4 )
Form(''EXCLUSIVE''), HasIPA(1), Usage(4 )
Form(''ASTELIA''), HasIPA(0), Usage(3 )
Form(''PUMILA''), HasIPA(0), Usage(2 )
Form(''TRACING''), HasIPA(1), Usage(3 )
Form(''CRANBERRY''), HasIPA(1), Usage(3 )
Form(''CHECKS''), HasIPA(1), Usage(3 )
Form(''EFFICIENT''), HasIPA(1), Usage(4 )
Form(''SHOALS''), HasIPA(1), Usage(2 )
Form(''CHILOTANS''), HasIPA(0), Usage(4 )
Form(''ROTTING''), HasIPA(1), Usage(3 )
Form(''COMICAL''), HasIPA(1), Usage(3 )
Form(''WHEW''), HasIPA(1), Usage(2 )
Form(''INTRUDER''), HasIPA(1), Usage(4 )
Form(''TWITTERING''), HasIPA(0), Usage(2 )
Form(''GIGANTEA''), HasIPA(0), Usage(2 )
Form(''PETREL''), HasIPA(0), Usage(2 )
Form(''AUK''), HasIPA(0), Usage(2 )
Form(''HORTICULTURAL''), HasIPA(1), Usage(2 )
Form(''PSELAPHUS''), HasIPA(0), Usage(2 )
Form(''TELEPHORIDAE''), HasIPA(0), Usage(3 )
Form(''FISSURED''), HasIPA(1), Usage(4 )
Form(''ERUPTIVE''), HasIPA(1), Usage(2 )
Form(''VESUVIUS''), HasIPA(1), Usage(2 )
Form(''VENTS''), HasIPA(1), Usage(2 )
Form(''CAPELLA''), HasIPA(1), Usage(3 )
Form(''SLIPPERY''), HasIPA(1), Usage(2 )
Form(''PEGS''), HasIPA(1), Usage(2 )
Form(''SKIPPED''), HasIPA(1), Usage(4 )
Form(''NARROWING''), HasIPA(1), Usage(2 )
Form(''EXTRICATED''), HasIPA(1), Usage(2 )
Form(''CONTINUANCE''), HasIPA(1), Usage(4 )
Form(''DISSIPATE''), HasIPA(1), Usage(2 )
Form(''DAMPNESS''), HasIPA(1), Usage(2 )
Form(''SOLEMNITY''), HasIPA(1), Usage(2 )
Form(''ILLUMINED''), HasIPA(1), Usage(4 )
Form(''HAMLETS''), HasIPA(1), Usage(4 )
Form(''VILINCO''), HasIPA(0), Usage(2 )
Form(''PRODIGY''), HasIPA(1), Usage(4 )
Form(''PERIAGUA''), HasIPA(0), Usage(4 )
Form(''AUTHORITATIVE''), HasIPA(1), Usage(2 )
Form(''GUNWALE''), HasIPA(0), Usage(2 )
Form(''CONDESCENDING''), HasIPA(1), Usage(2 )
Form(''HUANTAMO''), HasIPA(0), Usage(2 )
Form(''CHEPONES''), HasIPA(0), Usage(2 )
Form(''BEVERAGE''), HasIPA(1), Usage(3 )
Form(''EXPEDITIONS''), HasIPA(1), Usage(4 )
Form(''SPARINGLY''), HasIPA(1), Usage(4 )
Form(''FRONTING''), HasIPA(1), Usage(4 )
Form(''HUECHUCUCUY''), HasIPA(0), Usage(2 )
Form(''MOTTO''), HasIPA(1), Usage(2 )
Form(''EXTRACTED''), HasIPA(1), Usage(4 )
Form(''FLAVOURED''), HasIPA(0), Usage(4 )
Form(''EVERGREENS''), HasIPA(1), Usage(3 )
Form(''FLEAS''), HasIPA(1), Usage(2 )
Form(''FLEA''), HasIPA(1), Usage(2 )
Form(''PLANKS''), HasIPA(1), Usage(3 )
Form(''LLANOS''), HasIPA(1), Usage(3 )
Form(''HEMMED''), HasIPA(1), Usage(2 )
Form(''CUDICO''), HasIPA(0), Usage(2 )
Form(''Y''), HasIPA(1), Usage(2 )
Form(''WEAVING''), HasIPA(1), Usage(2 )
Form(''PHYSIOGNOMY''), HasIPA(0), Usage(2 )
Form(''MARI''), HasIPA(1), Usage(2 )
Form(''SALUTE''), HasIPA(1), Usage(3 )
Form(''CONDESCEND''), HasIPA(1), Usage(4 )
Form(''CIRCUITS''), HasIPA(1), Usage(2 )
Form(''RUINOUS''), HasIPA(1), Usage(3 )
Form(''COMMANDING''), HasIPA(1), Usage(3 )
Form(''IMPREGNABLE''), HasIPA(1), Usage(2 )
Form(''RIVALS''), HasIPA(1), Usage(4 )
Form(''VESTIGE''), HasIPA(1), Usage(4 )
Form(''SKATING''), HasIPA(1), Usage(3 )
Form(''BENDS''), HasIPA(1), Usage(2 )
Form(''CREAKED''), HasIPA(1), Usage(3 )
Form(''ACCOMPANIMENTS''), HasIPA(1), Usage(2 )
Form(''QUIRIQUINA''), HasIPA(0), Usage(3 )
Form(''YERBA''), HasIPA(0), Usage(4 )
Form(''VIBRATION''), HasIPA(1), Usage(4 )
Form(''BLASTED''), HasIPA(1), Usage(4 )
Form(''HAVOC''), HasIPA(1), Usage(3 )
Form(''EFFECTUAL''), HasIPA(0), Usage(2 )
Form(''TILES''), HasIPA(1), Usage(2 )
Form(''DESOLATED''), HasIPA(0), Usage(3 )
Form(''UNHURT''), HasIPA(1), Usage(2 )
Form(''ROUSE''), HasIPA(0), Usage(3 )
Form(''BEAMS''), HasIPA(1), Usage(2 )
Form(''BLINDED''), HasIPA(1), Usage(4 )
Form(''PROWLED''), HasIPA(0), Usage(4 )
Form(''MANUFACTORIES''), HasIPA(0), Usage(2 )
Form(''EDIFICES''), HasIPA(0), Usage(4 )
Form(''BANKRUPT''), HasIPA(1), Usage(2 )
Form(''UNCONTROLLED''), HasIPA(1), Usage(4 )
Form(''PESTILENCE''), HasIPA(1), Usage(2 )
Form(''INWARDS''), HasIPA(0), Usage(3 )
Form(''SCHOONER''), HasIPA(1), Usage(2 )
Form(''CABLES''), HasIPA(1), Usage(2 )
Form(''HUMBLED''), HasIPA(1), Usage(2 )
Form(''COLDNESS''), HasIPA(1), Usage(2 )
Form(''DISCOMFORT''), HasIPA(1), Usage(4 )
Form(''ANTUCO''), HasIPA(0), Usage(3 )
Form(''WITCHCRAFT''), HasIPA(1), Usage(3 )
Form(''NOWAYS''), HasIPA(0), Usage(2 )
Form(''UNDULATION''), HasIPA(0), Usage(3 )
Form(''UPLIFTING''), HasIPA(1), Usage(2 )
Form(''FRACTURED''), HasIPA(1), Usage(3 )
Form(''BUTTRESSES''), HasIPA(1), Usage(3 )
Form(''CHISEL''), HasIPA(1), Usage(2 )
Form(''COPING''), HasIPA(1), Usage(3 )
Form(''DIAGONAL''), HasIPA(1), Usage(4 )
Form(''DOORWAYS''), HasIPA(1), Usage(3 )
Form(''HUMILIATING''), HasIPA(1), Usage(3 )
Form(''RETIRES''), HasIPA(1), Usage(2 )
Form(''FERNANDEZ''), HasIPA(1), Usage(3 )
Form(''SEVEREST''), HasIPA(1), Usage(3 )
Form(''OFFING''), HasIPA(1), Usage(2 )
Form(''RELIEVING''), HasIPA(1), Usage(3 )
Form(''CONFIDENTLY''), HasIPA(1), Usage(3 )
Form(''QUAKINGS''), HasIPA(0), Usage(2 )
Form(''TENSION''), HasIPA(1), Usage(4 )
Form(''GUSHED''), HasIPA(1), Usage(4 )
Form(''DEDUCIBLE''), HasIPA(0), Usage(2 )
Form(''SAGACITY''), HasIPA(0), Usage(3 )
Form(''UPHEAVAL''), HasIPA(1), Usage(4 )
Form(''SILICIFIED''), HasIPA(0), Usage(4 )
Form(''CUMBRE''), HasIPA(0), Usage(2 )
Form(''CASUCHAS''), HasIPA(0), Usage(4 )
Form(''BABEL''), HasIPA(1), Usage(4 )
Form(''VEER''), HasIPA(1), Usage(2 )
Form(''UPROAR''), HasIPA(1), Usage(2 )
Form(''GOITRE''), HasIPA(0), Usage(3 )
Form(''MARIANO''), HasIPA(1), Usage(2 )
Form(''GONZALES''), HasIPA(1), Usage(2 )
Form(''ARRIERO''), HasIPA(0), Usage(4 )
Form(''PERSONAGE''), HasIPA(0), Usage(3 )
Form(''MADRINAS''), HasIPA(0), Usage(2 )
Form(''MULETEERS''), HasIPA(0), Usage(2 )
Form(''HYBRID''), HasIPA(1), Usage(3 )
Form(''ENDURANCE''), HasIPA(1), Usage(4 )
Form(''DEBRIS''), HasIPA(1), Usage(3 )
Form(''DELIVERING''), HasIPA(1), Usage(2 )
Form(''IRREVOCABLE''), HasIPA(1), Usage(2 )
Form(''IMPLIES''), HasIPA(1), Usage(4 )
Form(''BEACHES''), HasIPA(1), Usage(4 )
Form(''WITHSTAND''), HasIPA(1), Usage(2 )
Form(''NOLASKO''), HasIPA(0), Usage(2 )
Form(''MARVELS''), HasIPA(1), Usage(4 )
Form(''DALE''), HasIPA(1), Usage(3 )
Form(''CHANUNCILLO''), HasIPA(0), Usage(2 )
Form(''DONKEY''), HasIPA(1), Usage(2 )
Form(''DISCOVERERS''), HasIPA(0), Usage(4 )
Form(''SPITZBERGEN''), HasIPA(0), Usage(2 )
Form(''DECEPTIVE''), HasIPA(1), Usage(3 )
Form(''YESO''), HasIPA(0), Usage(2 )
Form(''LOADING''), HasIPA(1), Usage(3 )
Form(''DIVIDING''), HasIPA(1), Usage(3 )
Form(''LAVAS''), HasIPA(0), Usage(3 )
Form(''POTASH''), HasIPA(1), Usage(3 )
Form(''ADDUCED''), HasIPA(0), Usage(4 )
Form(''DENUDATION''), HasIPA(0), Usage(2 )
Form(''DRAINING''), HasIPA(1), Usage(3 )
Form(''FROSTY''), HasIPA(1), Usage(3 )
Form(''POTOSI''), HasIPA(0), Usage(2 )
Form(''THUNDERSTORM''), HasIPA(1), Usage(3 )
Form(''MESSIAH''), HasIPA(1), Usage(3 )
Form(''SCRAPED''), HasIPA(1), Usage(2 )
Form(''BANKED''), HasIPA(1), Usage(2 )
Form(''STAGNANT''), HasIPA(1), Usage(4 )
Form(''SCRUBBY''), HasIPA(1), Usage(4 )
Form(''IMMINENT''), HasIPA(1), Usage(2 )
Form(''STICKING''), HasIPA(1), Usage(4 )
Form(''PEDESTAL''), HasIPA(1), Usage(3 )
Form(''CLEFT''), HasIPA(1), Usage(3 )
Form(''MAGICAL''), HasIPA(1), Usage(2 )
Form(''IMPENDING''), HasIPA(1), Usage(4 )
Form(''CONFOUNDING''), HasIPA(1), Usage(2 )
Form(''WOODWORK''), HasIPA(1), Usage(2 )
Form(''FLANNEL''), HasIPA(1), Usage(4 )
Form(''WAISTCOAT''), HasIPA(0), Usage(3 )
Form(''DOG'S''), HasIPA(1), Usage(2 )
Form(''STEEPER''), HasIPA(1), Usage(2 )
Form(''SHUTTING''), HasIPA(1), Usage(4 )
Form(''UPPERMOST''), HasIPA(1), Usage(3 )
Form(''IMMENSITY''), HasIPA(0), Usage(3 )
Form(''THOROUGHBRED''), HasIPA(1), Usage(2 )
Form(''BLOODHOUND''), HasIPA(1), Usage(2 )
Form(''DISK''), HasIPA(1), Usage(3 )
Form(''DEVOID''), HasIPA(1), Usage(3 )
Form(''TRAVERSIA''), HasIPA(0), Usage(3 )
Form(''ENGRAVING''), HasIPA(1), Usage(3 )
Form(''PEST''), HasIPA(1), Usage(4 )
Form(''AVERT''), HasIPA(1), Usage(4 )
Form(''LOCUST''), HasIPA(1), Usage(4 )
Form(''GRYLLUS''), HasIPA(0), Usage(2 )
Form(''MIGRATORIUS''), HasIPA(0), Usage(2 )
Form(''BENCHUCA''), HasIPA(0), Usage(2 )
Form(''WINGLESS''), HasIPA(0), Usage(2 )
Form(''BLOATED''), HasIPA(1), Usage(4 )
Form(''SUCKER''), HasIPA(1), Usage(2 )
Form(''VINEYARDS''), HasIPA(1), Usage(4 )
Form(''DELICIOUSLY''), HasIPA(1), Usage(2 )
Form(''HALFPENNY''), HasIPA(0), Usage(2 )
Form(''THREEPENCE''), HasIPA(0), Usage(2 )
Form(''ALAMEDA''), HasIPA(1), Usage(2 )
Form(''DOOM''), HasIPA(1), Usage(2 )
Form(''IRKSOME''), HasIPA(1), Usage(3 )
Form(''VICENCIO''), HasIPA(1), Usage(4 )
Form(''GRATIFIED''), HasIPA(1), Usage(3 )
Form(''PETRIFIED''), HasIPA(1), Usage(3 )
Form(''COARSELY''), HasIPA(0), Usage(3 )
Form(''SPAR''), HasIPA(1), Usage(3 )
Form(''PARTAKING''), HasIPA(0), Usage(3 )
Form(''ANTAGONISTIC''), HasIPA(1), Usage(2 )
Form(''SILEX''), HasIPA(1), Usage(2 )
Form(''COMPREHENSIBLE''), HasIPA(1), Usage(3 )
Form(''CAVERN''), HasIPA(1), Usage(2 )
Form(''COURIER''), HasIPA(1), Usage(4 )
Form(''MARKING''), HasIPA(1), Usage(4 )
Form(''CHANDELIER''), HasIPA(1), Usage(2 )
Form(''TURBID''), HasIPA(0), Usage(2 )
Form(''WELSH''), HasIPA(1), Usage(4 )
Form(''JACKSON''), HasIPA(1), Usage(2 )
Form(''NEVA''), HasIPA(1), Usage(4 )
Form(''JOINTS''), HasIPA(1), Usage(4 )
Form(''NITRATE''), HasIPA(1), Usage(4 )
Form(''DETOUR''), HasIPA(1), Usage(3 )
Form(''LIMACHE''), HasIPA(0), Usage(2 )
Form(''FREEHOLDERS''), HasIPA(1), Usage(2 )
Form(''CONVERSION''), HasIPA(1), Usage(2 )
Form(''CONCHALEE''), HasIPA(0), Usage(2 )
Form(''IRRIGATING''), HasIPA(0), Usage(4 )
Form(''EXTRAVAGANCE''), HasIPA(1), Usage(4 )
Form(''PENNILESS''), HasIPA(1), Usage(3 )
Form(''ABODES''), HasIPA(0), Usage(3 )
Form(''SASH''), HasIPA(1), Usage(4 )
Form(''OUNCE''), HasIPA(1), Usage(3 )
Form(''INFATUATION''), HasIPA(1), Usage(3 )
Form(''CONTRACTS''), HasIPA(1), Usage(4 )
Form(''APIRES''), HasIPA(0), Usage(2 )
Form(''APIRE''), HasIPA(0), Usage(2 )
Form(''NOTCHED''), HasIPA(1), Usage(2 )
Form(''STAGGERING''), HasIPA(1), Usage(3 )
Form(''ENABLE''), HasIPA(1), Usage(4 )
Form(''CONTAMINATION''), HasIPA(1), Usage(2 )
Form(''JOSEPH''), HasIPA(1), Usage(2 )
Form(''VALUABLES''), HasIPA(1), Usage(3 )
Form(''REAP''), HasIPA(1), Usage(4 )
Form(''TINGED''), HasIPA(1), Usage(4 )
